Frequency,DB(MAG(V(Output))),PHDEG(V(Output)),PHDEG_corrected(V(Output))
56.24190097,3.51333532,-169.1364682,10.86353178
56.37155194,3.532532176,-169.1226268,10.87737319
56.50150178,3.551853077,-169.1088697,10.89113032
56.6317512,3.571299068,-169.0951985,10.9048015
56.76230087,3.590871204,-169.081615,10.91838499
56.89315148,3.610570554,-169.0681209,10.93187907
57.02430374,3.630398197,-169.0547181,10.94528194
57.15575834,3.650355228,-169.0414082,10.95859181
57.28751597,3.670442751,-169.0281932,10.97180683
57.41957733,3.690661886,-169.0150749,10.98492514
57.55194313,3.711013764,-169.0020552,10.99794484
57.68461406,3.731499531,-168.989136,11.010864
57.81759083,3.752120346,-168.9763193,11.02368065
57.95087414,3.772877381,-168.9636072,11.0363928
58.0844647,3.793771823,-168.9510016,11.0489984
58.21836322,3.814804873,-168.9385046,11.0614954
58.35257041,3.835977746,-168.9261183,11.07388169
58.48708698,3.857291673,-168.9138449,11.08615512
58.62191364,3.878747898,-168.9016865,11.09831352
58.75705111,3.900347682,-168.8896453,11.11035467
58.8925001,3.9220923,-168.8777237,11.12227633
59.02826133,3.943983044,-168.8659238,11.13407618
59.16433553,3.966021221,-168.8542481,11.1457519
59.30072341,3.988208154,-168.8426989,11.15730111
59.43742569,4.010545184,-168.8312786,11.16872139
59.57444311,4.033033666,-168.8199897,11.18001027
59.71177638,4.055674974,-168.8088347,11.19116526
59.84942624,4.0784705,-168.7978162,11.2021838
59.98739342,4.101421652,-168.7869367,11.21306328
60.12567864,4.124529855,-168.7761989,11.22380108
60.26428265,4.147796555,-168.7656055,11.23439448
60.40320617,4.171223215,-168.7551592,11.24484076
60.54244994,4.194811316,-168.7448629,11.25513711
60.6820147,4.21856236,-168.7347193,11.26528069
60.82190119,4.242477866,-168.7247314,11.27526861
60.96211015,4.266559374,-168.7149021,11.28509792
61.10264233,4.290808446,-168.7052344,11.29476561
61.24349847,4.315226661,-168.6957314,11.30426862
61.38467931,4.339815621,-168.6863962,11.31360383
61.52618561,4.364576949,-168.6772319,11.32276806
61.66801812,4.389512289,-168.6682419,11.33175808
61.81017758,4.414623307,-168.6594294,11.34057059
61.95266476,4.439911691,-168.6507978,11.34920223
62.0954804,4.465379154,-168.6423504,11.35764957
62.23862526,4.491027429,-168.6340909,11.36590911
62.38210011,4.516858274,-168.6260227,11.37397731
62.52590571,4.542873472,-168.6181495,11.38185053
62.6700428,4.569074827,-168.6104749,11.38952508
62.81451217,4.595464172,-168.6030028,11.39699718
62.95931458,4.622043363,-168.595737,11.404263
63.10445079,4.648814282,-168.5886814,11.4113186
63.24992157,4.675778838,-168.58184,11.41816
63.3957277,4.702938965,-168.5752169,11.42478312
63.54186994,4.730296626,-168.5688162,11.4311838
63.68834908,4.75785381,-168.5626422,11.4373578
63.83516589,4.785612538,-168.5566992,11.4433008
63.98232114,4.813574854,-168.5509916,11.44900837
64.12981563,4.841742837,-168.545524,11.45447603
64.27765012,4.870118591,-168.5403008,11.45969916
